date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:49	20449/20449	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-4fe1%22	https://prium.github.io/elixir/v3.0.0/elements/grid.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/grid.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:49	474086/474086	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-73be6%22	https://prium.github.io/elixir/v3.0.0/elements/icons.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/icons.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:49	16795/16795	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-419b%22	https://prium.github.io/elixir/v3.0.0/elements/layouthelpers.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/layouthelpers.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:49	16039/16039	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-3ea7%22	https://prium.github.io/elixir/v3.0.0/elements/modal-video.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/modal-video.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:50	24879/24879	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-612f%22	https://prium.github.io/elixir/v3.0.0/elements/swiper.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/swiper.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:50	31166/31166	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-79be%22	https://prium.github.io/elixir/v3.0.0/elements/typography.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/typography.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:50	17576/17576	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-44a8%22	https://prium.github.io/elixir/v3.0.0/contact.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/contact.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:50	110344/110344	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-1af08%22	https://prium.github.io/elixir/v3.0.0/assets/img/header-6.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/header-6.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:50	99192/99192	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-18378%22	https://prium.github.io/elixir/v3.0.0/assets/img/header-5.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/header-5.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:51	148225/148225	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-24301%22	https://prium.github.io/elixir/v3.0.0/assets/img/header-1.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/header-1.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:51	128115/128115	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-1f473%22	https://prium.github.io/elixir/v3.0.0/assets/img/video-screenshot-2.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/video-screenshot-2.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:51	98927/98927	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-1826f%22	https://prium.github.io/elixir/v3.0.0/assets/img/6.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/6.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:51	72228/72228	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-11a24%22	https://prium.github.io/elixir/v3.0.0/assets/img/7.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/7.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:51	90742/90742	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-16276%22	https://prium.github.io/elixir/v3.0.0/assets/img/8.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/8.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:52	105540/105540	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-19c44%22	https://prium.github.io/elixir/v3.0.0/assets/img/why-choose-us.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/why-choose-us.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:52	60044/60044	---M--	200	added ('OK')	image/png	etag:%2261c846e9-ea8c%22	https://prium.github.io/elixir/v3.0.0/assets/img/icons/sharing.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/icons/sharing.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:52	29549/29549	---M--	200	added ('OK')	image/png	etag:%2261c846e9-736d%22	https://prium.github.io/elixir/v3.0.0/assets/img/icons/mail.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/icons/mail.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:52	80026/80026	---M--	200	added ('OK')	image/png	etag:%2261c846e9-1389a%22	https://prium.github.io/elixir/v3.0.0/assets/img/icons/target.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/icons/target.png	(from https://prium.github.io/elixir/v3.0.0/)
